      program_name  constant_write  var_write  read
0      program_502              11         28   205
1     program_6761               4         66   147
2     program_2073               1         26    21
3      program_700               5         24    54
4     program_7199              10         35    50
5     program_4023               5         12   157
6     program_3267               1         26    15
7     program_9475              10         31   235
8      program_267               2         10    38
9     program_4221               5          8   109
10     program_530               0          8    42
11     program_654               5         52   182
12    program_1098               1          8    13
13    program_7174              26        131   136
14     program_189               3          8    75
15    program_3092               1         25    10
16    program_4056              24         34   184
17    program_7304               1         19    70
18    program_3374               0          8    52
19    program_9668               6         23    46
20    program_1889              10         53   121
21    program_3761              12         36   219
22    program_6316               4         59   186
23    program_4614              15        109   248
24     program_746              19         42   179
25    program_7800               5         21   198
26    program_5545               8         14    98
27    program_2577               0         10    29
28    program_1682               6         23   287
29    program_4664              14         53   139
30    program_6477               2          6    39
31    program_8169              17         52   489
32      program_35              20         33   178
33    program_4407               7         14    59
34    program_5419              30        166   342
35      program_81              11         50   165
36    program_1708               2         49    85
37    program_7292               0          3    30
38    program_8595               7         46   144
39    program_1299              10         20   267
40    program_5839              10         11    62
41    program_1554               1         10    68
42    program_8045               9        139    69
43    program_6639              10         11   106
44    program_4310               1         10    31
45    program_4476              10         35   159
46    program_6827               2         35    34
47    program_8974               6         15    99
48    program_3195               1          9    45
49    program_1705               6         51    24
50    program_5003              12        108   271
51    program_1650              21        107   154
52    program_1799              17        228   266
53    program_9575               1          9   145
54    program_3414              15         81   187
55    program_9006              22        104   221
56    program_9607               5         16    36
57    program_4864              20        108   224
58    program_3920               9         27   157
59    program_7434               4         11   107
60    program_5718              12         68   242
61    program_9087              22         45   167
62    program_8998              19        107   144
63    program_8310               8         50   126
64    program_5582              21         84   243
65    program_3899               2          9    64
66    program_4990              16         19   149
67    program_6031              17         21   189
68     program_196              24         87   260
69    program_6099               0          4    25
70    program_9085               2          9    12
71    program_9609               9         22    56
72    program_8424               0         50     8
73     program_547               7         30   117
74    program_6191              15        142   232
75    program_1337               0         16     7
76    program_6315              32         56   241
77    program_7435               2          7    63
78    program_3314               9         22   180
79    program_9077              12         15   161
80    program_7543              13         22   208
81    program_1455              13         44   257
82    program_9187               8         17   226
83    program_3421              11         18   250
84    program_5336               0         25    14
85    program_8787               9         16   132
86    program_9936               3         11    40
87     program_941              12        114   290
88    program_1320               4         47   308
89    program_5382              17         21   217
90    program_5659               5         70   100
91    program_8164              17         41   103
92    program_8767               1          8    47
93    program_9568               0         21    16
94    program_1779              12         36   183
95    program_1334               2         15    16
96    program_4643               0          7    78
97    program_6054               6         33    65
98     program_150               1         17    80
99    program_9293              22         92   247
100   program_2762               1          7    16
101   program_7141              24         36   256
102   program_9397              13         57   152
103   program_5089              10         37   146
104   program_7424               0         14    85
105   program_5242               5          7    59
106   program_3250              10         16   266
107   program_2623              10         15   107
108   program_6602               8          8   132
109   program_9474              28         85   184
110     program_55              13         69   175
111   program_7024              20        100   173
112   program_5305              24         43   188
113   program_1769              22         49   151
114   program_2736               1          6    88
115   program_6820              21         57   164
116   program_8245              15         39   181
117   program_1398              23         28   106
118   program_9659              15         22   194
119   program_8434               2         26   112
120   program_7440              33        162   209
121   program_3080              17         32   104
122   program_5840              12         71   170
123   program_5135               1         30    57
124   program_9420               8         41   125
125   program_8447               3          7    43
126   program_7242              16         45   189
127     program_67               9         11    97
128   program_2733               7         47    94
129   program_2168               4         61    98
130   program_4153               6         18   164
131   program_2565               9        112   216
132   program_5199              26         49    92
133   program_7049              15         29   184
134   program_8561              21         46   124
135   program_9700              27         24   374
136    program_947              17         68   212
137    program_634              14        103   178
138   program_6822              10         97    80
139   program_4713               8         64    92
140    program_176              19         27   170
141   program_2544              22         43   214
142   program_7107               6         56   177
143   program_2741               4         20   179
144   program_6543               6         43   100
145   program_2800               1         30    10
146   program_2443              11         35   153
147   program_9512               1          9    45
148   program_8831               3          8    65
149   program_5968               1         27     5
150   program_4778              17        157   413
151   program_1479              12         32   172
152   program_5475               4         26    21
153   program_7990               4         36   169
154   program_5469              17         21   163
155    program_857              22         75   131
156   program_6817              21         39   250
157   program_7066               0         15    72
158   program_3229              13         69   322
159   program_3861              19         27   109
160     program_87               9        118   287
161   program_6130              17         21   117
162   program_5346               1         31    15
163   program_2764              51        134   225
164     program_97              30         77   160
165   program_9665               7         27    50
166   program_2221               3         34    21
167   program_1527               3         16    22
168   program_7888               2         21    18
169   program_4089               8         32   180
170   program_2611               2         21    57
171   program_7875               5         12    64
172   program_5943               2         32    49
173   program_4856              11         21   284
174   program_2470              13         51   180
175   program_2792               1          9    63
176   program_5212              25         50   202
177    program_826               5         15   191
178   program_8479              11         23   124
179   program_2045              18         28   104
